Name,Actor_1,Actor_2,Actor_3,Acotr_4,,,,,,,,,,,,,,,,,,,,,
Iron Man,Robert Downey Jr.,Gweneth Paltrow,Terrence Howard,,,,,,,,,,,,,,,,,,,,,,
The incredible Hulk,Edward Norton,Liv Tyler,Tim Roth,,,,,,,,,,,,,,,,,,,,,,
Iron Man 2,Robert Downey Jr.,Gweneth Paltrow,Mickey Rourke,Samuel L. Jackson,Scarlett Johansson,Don Cheadle,,,,,,,,,,,,,,,,,,,
Thor,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Idris Elba,Tom Hiddleston,,,,,,,,,,,,,,,,,,,,
Captain America: The first Avenger,Chris Evans,Hugo Weaving,Samuel L. Jackson,,,,,,,,,,,,,,,,,,,,,,
Marvel's the Avengers,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,Samuel L. Jackson,Chris Hemsworth,Mark Ruffalo,,,,,,,,,,,,,,,,,,
Iron Man 3,Robert Downey Jr.,Gweneth Paltrow,Guy Pearce,Ben Kingsley,,,,,,,,,,,,,,,,,,,,,
Thor: The dark world,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Idris Elba,,,,,,,,,,,,,,,,,,,,,
Captain America : The Winter Soldier,Chris Evans,Scarlett Johansson,Samuel L. Jackson,Sebastian Stan,Anthony Mackie,,,,,,,,,,,,,,,,,,,,
Guardians Of the Galaxy,Chris Patt,Vin Diesel,Bradely Cooper,Zoe Saldana,Dave Bautista,,,,,,,,,,,,,,,,,,,,
Avengers : Age of Ultron,Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo,Samuel L. Jackson,Scarlett Johansson,Jeremy Renner,Elisabeth Olsen,Idris Elba,,,,,,,,,,,,,,,,
Ant-Man,Paul Rudd,Michael Douglas,Corey Stall,Evangeline Lilly,,,,,,,,,,,,,,,,,,,,,
Captain America: Civil War,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Sebastian Stan,Tom Holland,Chadwick Boseman,Elisabeth Olsen,Jeremy Renner,Paul Rudd,Don Cheadle,Anthony Mackie,,,,,,,,,,,,,,
Doctor Strange,Benedict Cumberbatch,Chiswetel Ejiofor,Racheal McAdams,,,,,,,,,,,,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,Chris Patt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,,,,,,,,,,,,,,,,,,,,
Spider-Man:Homecoming,Tom Holland,Michael Keaton,Robert Downey Jr.,Jacob Batalon,,,,,,,,,,,,,,,,,,,,,
Thor:Ragnarok,Chris Hemsworth,Cate Blanchett,Tom Hiddleston,Tessa Thompson,Taika Waititi,Idris Elba,,,,,,,,,,,,,,,,,,,
Black Panther,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Letitia Wright,Martin Freeman,,,,,,,,,,,,,,,,,,,,
Avengers: Infinity War,Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo,Josh Brolin,Idris Elba,Chadwick Boseman,Gweneth Paltrow,Tessa Thompson,Taika Waititi,Chris Patt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Tom Holland,Scarlett Johansson,Jeremy Renner,Paul Rudd,Evangeline Lilly,Brie Larson,Benedict Cumberbatch,Samuel L. Jackson,Elisabeth Olsen,Anthony Mackie
Ant-Man and the Wasp,Paul Rudd,Evangeline Lilly,Micheal Pena,Michael Douglas,,,,,,,,,,,,,,,,,,,,,
Captain-Marvel,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Samuel L. Jackson,,,,,,,,,,,,,,,,,,,,,
Avengers:Endgame,Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo,Josh Brolin,Chadwick Boseman,Gweneth Paltrow,Tessa Thompson,Taika Waititi,Chris Patt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Tom Holland,Scarlett Johansson,Jeremy Renner,Paul Rudd,Evangeline Lilly,Brie Larson,Benedict Cumberbatch,Benedict Wong,Elisabeth Olsen,Anthony Mackie,Brie Larson
Spider-Man:Far From Home,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal,Zendaya,Jacob Batalon,,,,,,,,,,,,,,,,,,,,
Black Widow,Scarlett Johansson,Florence Pugh,David Harbour,Rachel Weisz,,,,,,,,,,,,,,,,,,,,,
Shang-Chi and the Legend of the Ten Rings,Simu Liu,Awkwafina,Mengâ€™er Zhang,Ben Kingsley,Benedict Wong,,,,,,,,,,,,,,,,,,,,
Eternals,Gemma Chan,Richard Madden,Angelina Jolie,Barry Keoghan,Kumail Nanjiani,,,,,,,,,,,,,,,,,,,,
Spider-Man: No Way Home,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Andrew Garfield,Tobey Maguire,,,,,,,,,,,,,,,,,,,
Doctor Strange in the Multiverse of Madness,Benedict Cumberbatch,Racheal McAdams,Benedict Wong,Elisabeth Olsen,Xochiti Gomez,,,,,,,,,,,,,,,,,,,,
Thor: Love and Thunder,Chris Hemsworth,Christian Bale,Natalie Portman,Tessa Thompson,Taika Waititi,,,,,,,,,,,,,,,,,,,,