Name,IMDB,Rotten Tomatoes,MetaCritic
Iron Man,7.9,94,79
The incredible Hulk,6.6,67,61
Iron Man 2,6.9,72,57
Thor,7,77,57
Captain America: The first Avenger,6.9,79,66
Marvel's the Avengers,8,91,69
Iron Man 3,7.1,79,62
Thor: The dark world,6.8,66,54
Captain America : The Winter Soldier,7.8,90,70
Guardians Of the Galaxy,8,92,76
Avengers : Age of Ultron,7.3,76,66
Ant-Man,7.3,83,64
Captain America: Civil War,7.8,90,75
Doctor Strange,7.5,89,72
Guardians of the Galaxy Vol. 2,7.6,85,67
Spider-Man:Homecoming,7.4,92,73
Thor:Ragnarok,7.9,93,74
Black Panther,7.3,96,88
Avengers: Infinity War,8.4,85,68
Ant-Man and the Wasp,7,87,70
Captain-Marvel,6.8,79,64
Avengers:Endgame,8.4,94,78
Spider-Man:Far From Home,7.4,90,69
Black Widow,6.7,79,67
Shang-Chi and the Legend of the Ten Rings,7.4,91,71
Eternals,6.3,47,52
Spider-Man: No Way Home,8.3,93,71
Doctor Strange in the Multiverse of Madness,7,74,60
Thor: Love and Thunder,6.5,64,57
Marvels' Agents of S.H.I.E.L.D.,7.5,95,74
Marvel's Agent Carter,7.9,86,72
Marvels's Daredevil,8.6,92,75
Marvel - Jessica Jones,7.9,83,81
Marvel's Luke Cage,7.3,87,79
Marvel's Iron Fist,6.4,37,37
Marvel - The Defenders,7.2,78,63
Inhumans,4.9,11,27
Marvel's The Punisher,8.5,64,55
Marvel's Runaways,6.9,85,68
Clock and Dagger,6.6,87,68
Marvel Studios Legends,6.5,,
WandaVision,7.9,91,77
The Falcon and the Winter Soldier,7.2,84,74
Loki,8.2,92,74
What If...?,7.4,94,69
Hawkeye,7.5,92,66
Moon Knight,7.3,86,69
Ms. Marvel,6.2,97,78
She-Hulk: Attorney at Law,5,88,67